z	 ra	 dec
 0.398320	 2.375184	 0.137120
 0.330208	 3.884342	 0.093358
 0.198523	 5.424680	 -0.119972
 0.307503	 2.187201	 0.266386
 0.293881	 2.675169	 0.338520
 0.293881	 3.863780	 0.102719
 0.319612	 3.699772	 0.489433
 0.436160	 3.339168	 -0.042197
 0.309017	 2.387557	 0.174154
 0.231823	 3.620602	 1.154170
 0.193983	 2.078487	 0.684849
 0.195496	 1.930849	 0.730570
 0.389238	 4.077453	 0.550692
 0.374102	 5.847823	 -0.013423
 0.422538	 6.142995	 0.007909
 0.396806	 3.481527	 1.016939
 0.248473	 4.229254	 0.093815
 0.307503	 3.535313	 0.356352
 0.434647	 2.544997	 0.459991
 0.293881	 3.628492	 0.852552
 0.197010	 3.795256	 0.131812
 0.292367	 4.315192	 0.300101
 0.201551	 2.089028	 0.281393
 0.184901	 2.789517	 0.147010
 0.302963	 2.647916	 0.193385
 0.298422	 4.383395	 0.415765
 0.396806	 0.307117	 0.238387
 0.396806	 3.609842	 0.225716
 0.369561	 4.419120	 0.535234
 0.352912	 3.516807	 0.124285
 0.375616	 3.073700	 0.784281
 0.390752	 3.080202	 0.700579
 0.195496	 0.013309	 0.269833
 0.248473	 3.304020	 0.328532
 0.307503	 2.815876	 0.383512
 0.363507	 4.053505	 0.677737
 0.343830	 3.277115	 0.105516
 0.318099	 2.462503	 0.477638
 0.215173	 2.502731	 0.253855
 0.346857	 3.199653	 0.670682
 0.417997	 3.321773	 0.032168
 0.313558	 3.560073	 0.744875
 0.213659	 3.817428	 0.360459
 0.239391	 2.745619	 0.072869
 0.395293	 3.184312	 0.350629
 0.416483	 2.211121	 0.721086
 0.183387	 3.003428	 0.435454
 0.166738	 4.294748	 0.718769
 0.422538	 3.554819	 0.398180
 0.319612	 4.126215	 0.578578
 0.231823	 0.584307	 -0.136996
 0.304476	 5.493776	 0.015046
 0.240905	 2.195975	 0.681120
 0.304476	 3.825707	 0.274408
 0.398320	 2.977033	 1.140945
 0.384698	 3.139439	 0.823620
 0.427079	 2.172255	 0.360813
 0.305990	 3.917484	 0.779771
 0.210632	 3.118225	 0.359430
 0.322640	 3.478551	 0.555308
 0.165224	 3.315393	 0.186396
 0.313558	 5.823014	 0.241697
 0.298422	 3.174884	 0.755835
 0.233336	 2.342794	 0.495743
 0.324153	 3.775731	 0.286329
 0.424051	 0.853840	 -0.001000
 0.239391	 0.524173	 0.227371
 0.213659	 2.676525	 0.633771
 0.396806	 5.819414	 0.016003
 0.455837	 4.182258	 0.642060
 0.295395	 3.014116	 0.750271
 0.407402	 2.469702	 0.246249
 0.351398	 3.946700	 0.872912
 0.163710	 3.545862	 0.302962
 0.236364	 2.515057	 0.962049
 0.422538	 3.348616	 0.433097
 0.419511	 3.286295	 0.121922
 0.395293	 3.600190	 0.330555
 0.231823	 3.476722	 0.870817
 0.212146	 2.946146	 0.616295
 0.381670	 3.255526	 0.505317
 0.396806	 4.143179	 0.806606
 0.193983	 0.059000	 0.282414
 0.424051	 2.317463	 1.120950
 0.309017	 2.410282	 0.286625
