ra	Dec	Z	
     180.1646855224109345      -1.0507707959248473      0.2635661     
     200.6875888548740932      -0.6298023062311869      0.3947075     
     213.2294987285415004      -0.6295365865958236      0.4462044     
     238.9081416486331477      -0.5914916344026671      0.3007111     
     239.2150451273045633      -0.5918979873605741      0.4410292     
     239.3630008379785465      -0.6178500942693645      0.3341832     
     239.4218994903219198      -0.6215500126064255      0.3016459     
     240.6910766911914834      -0.5707135817951821      0.1942891     
     242.6082304775520697      -0.5898425009274697      0.4191005     
     242.9356400825359401      -0.6035672005611825      0.3297969     
     243.0196869364825716      -0.5948010325773543      0.3289903     
     243.1787189652245615      -0.5477951700034618      0.2563623     
     243.2750512144141339      -0.5530219033221743      0.2680670     
     244.2099601270352593      -0.4970103819181626      0.3985955     
     244.3374804146692441      -0.4299529431327763      0.4170073     
     244.5331794094567215      -0.4433778570527436      0.4031377     
     244.7707599451343299      -0.4981069831437432      0.4357269     
     244.8196003100739233      -0.4324248161655684      0.4183727     
     245.0259824585685919      -0.4682075620946219      0.3309939     
     245.1975021917481570      -0.4798646025506098      0.3977004     
     245.7368074915023612      -0.4269616761413018      0.4253869     
     249.5212393679048262      -0.4660127895095817      0.4224564     
     170.6420822367423398      -0.2116866608939499      0.4261304     
     195.5978187843261082      -0.1854027467032532      0.3099723     
     195.7174507786712638      -0.0710457898476586      0.3584862     
     195.8376454191827634      -0.2114462158653997      0.3103713     
     196.2982752239608715      -0.0889646689409714      0.1710188     
     197.0540198187500778      -0.0616563992260942      0.4251739     
     197.4289550830992539      -0.1307390769979581      0.4214336     
     197.7159837983469970      -0.1254764778495669      0.3649887     
     197.9405416931055584      -0.0116376140574712      0.4534555     
     198.0458601921325226      -0.1025139490465323      0.4527152     
     199.0364355631664921      -0.1509659357614674      0.3631601     
     200.7267688922038644      -0.1148178299218676      0.4625728     
     200.9846766222312340      -0.1181753587166307      0.2183003     
     211.6495469663491917      -0.2082661128977715      0.4575200     
     227.3474543603872462      -0.2060711539410211      0.2638889     
     237.4938077762422495      -0.0716001579809124      0.2745219     
     237.6788268149061309      -0.0926369375390712      0.2992448     
     237.6001931675539254      -0.0190780502033164      0.4690864     
     238.0811379755196526      -0.1787283008753074      0.3900768     
     238.2219073616176104      -0.1325238442289721      0.2745534     
     238.2025537564417448      -0.0603388399419712      0.3893760     
     238.2990955053283528      -0.0905708022334533      0.3809705     
     238.4678064618078679      -0.0996951379324670      0.3407869     
     238.9413299550024590      -0.1684724246724816      0.3362682     
     239.1648614709775416      -0.1656691991470063      0.3694106     
     239.3576858487585639      -0.1878276318803242      0.3013137     
     239.3620079208771472      -0.1806806863475312      0.3007035     
     239.3698409472929995      -0.1052869464380636      0.3000010     
     239.6859322807595447      -0.0347277461069000      0.4521753     
     240.2278220062497667      -0.1516061166735939      0.3309611     
     240.8706796125395897      -0.0301261985857433      0.3527161     
     241.3298010128941655      -0.1407159754842229      0.2012118     
     241.6110268453140293      -0.0333113832264433      0.3012008     
     242.1450484962759901      -0.0425122593008185      0.3619821     
     242.4645956284410033      -0.0772707341416926      0.3023032     
     242.6209201519056649      -0.1337268405263155      0.1849950     
     242.9895984186721591      -0.1587901293627224      0.3969412     
     243.1756593359182830      -0.0847935886290359      0.3572302     
     243.1756773038033828      -0.1417685088874129      0.3592223     
     243.2010487424975054      -0.0709881121782315      0.3551103     
     243.2746666755492129      -0.1055432842864236      0.3581730     
