z	 ra	 dec
 0.450184	 2.891217	 0.739565
 0.367165	 2.723095	 0.472859
 0.413324	 2.062286	 0.529316
 0.322470	 3.644841	 0.800411
 0.322646	 2.680368	 0.782244
 0.233469	 2.688288	 -0.004262
 0.313645	 2.371529	 0.838278
 0.351716	 4.500444	 0.521040
 0.403208	 3.104963	 1.058235
 0.376910	 4.043502	 -0.010318
 0.168714	 2.103838	 0.447666
 0.301653	 3.327806	 -0.001492
 0.463405	 2.676261	 0.754425
 0.395053	 4.428902	 0.479513
 0.354445	 3.766349	 0.373967
 0.293300	 2.695571	 0.543926
 0.294169	 3.358943	 0.301715
 0.304695	 3.776372	 0.681853
 0.293650	 3.725528	 0.693055
 0.410236	 4.029207	 0.029799
 0.246771	 3.242453	 0.502635
 0.407780	 2.734598	 0.055888
 0.321902	 3.690812	 0.367612
 0.412779	 3.665389	 0.740989
 0.398162	 6.010569	 0.256454
 0.363070	 3.689056	 1.038438
 0.396823	 3.938537	 0.779022
 0.396613	 2.528573	 0.547349
 0.182347	 3.748518	 0.203211
 0.299139	 2.146090	 0.743872
 0.247121	 2.303502	 0.880786
 0.259917	 2.431736	 0.984828
 0.383787	 2.151164	 0.095566
 0.353198	 2.690684	 0.556879
 0.295669	 2.880225	 0.703833
 0.190652	 2.628613	 0.693467
 0.390488	 3.210271	 1.037661
 0.393530	 3.714299	 1.075997
 0.369988	 2.282498	 0.010091
 0.238183	 2.215805	 0.008637
 0.192138	 4.114316	 0.139429
 0.232717	 2.086832	 0.504860
 0.346142	 2.932138	 0.932043
 0.344406	 3.544680	 0.142777
 0.357813	 2.358864	 0.365999
 0.320844	 3.347400	 0.613437
 0.325661	 2.963569	 0.715411
 0.197241	 3.573374	 0.701985
 0.420185	 0.229645	 -0.176975
 0.240949	 3.387675	 0.112841
 0.313285	 2.899492	 0.215151
 0.372947	 3.564042	 1.071292
 0.200651	 3.414284	 0.146238
 0.369399	 2.337432	 0.599633
 0.458672	 3.476145	 0.738986
 0.210756	 5.949719	 0.257632
 0.213817	 3.540875	 0.012139
 0.309025	 5.400059	 -0.014470
 0.309136	 2.055112	 0.498775
 0.373295	 3.516477	 0.176992
 0.317115	 0.151364	 0.010107
 0.319028	 2.516730	 0.625679
 0.209085	 2.593087	 1.186133
 0.324218	 2.742022	 -0.011153
 0.305293	 0.466640	 0.005142
 0.423070	 2.918614	 0.595617
 0.388735	 2.404287	 1.012191
 0.374835	 3.843920	 0.718240
 0.354060	 2.517890	 0.201037
 0.303530	 3.138730	 0.262682
 0.324271	 4.177880	 0.741755
 0.408454	 3.688290	 1.135996
 0.362537	 4.384507	 0.344838
 0.234035	 3.725277	 0.453372
 0.396473	 3.498477	 0.868655
 0.397555	 2.387530	 0.917264
 0.183249	 2.821563	 1.048493
 0.184117	 3.062418	 0.629198
 0.162197	 2.896360	 0.788386
 0.186047	 6.049651	 0.246773
 0.456190	 4.179265	 0.705438
 0.181958	 3.362732	 0.279292
 0.184636	 3.960496	 0.360963
 0.235016	 3.121831	 0.612433
 0.165046	 3.624386	 0.785392
 0.376459	 3.225040	 0.923575
 0.374853	 3.424069	 0.593734
 0.323790	 3.699575	 0.741343
 0.198903	 2.275818	 0.578494
 0.263554	 2.153879	 0.978385
 0.194317	 3.063551	 -0.016051
 0.398651	 3.327329	 0.029265
 0.417008	 4.032068	 0.189864
 0.403111	 3.826848	 0.198591
 0.435831	 2.230701	 0.006125
 0.418335	 3.507451	 0.017396
 0.331030	 4.014748	 0.737506
 0.397691	 2.929819	 0.092669
 0.425646	 0.673407	 -0.166762
 0.422738	 2.562908	 0.220420
 0.426155	 3.311073	 0.678956
 0.274523	 0.062756	 -0.155686
 0.299199	 3.872907	 0.201569
 0.389821	 3.934708	 0.450263
 0.274493	 2.851507	 0.835936
 0.389254	 2.135812	 0.521301
 0.380998	 4.018358	 0.442676
 0.340867	 2.984060	 0.773349
 0.336294	 3.911024	 0.614600
 0.369338	 2.230807	 0.337064
 0.301282	 3.115724	 0.180741
 0.300711	 2.509327	 0.871372
 0.299988	 3.021598	 0.841913
 0.452101	 2.891871	 0.260102
 0.368895	 0.017058	 -0.180049
 0.201188	 4.262282	 0.495030
 0.361982	 4.593922	 0.958045
 0.302302	 3.472248	 1.019204
 0.184988	 3.734394	 -0.014394
 0.357302	 3.033966	 0.216863
 0.355194	 3.559455	 0.033333
 0.356706	 2.321840	 0.716061
 0.320243	 3.274827	 0.885568
 0.397715	 3.077073	 0.361209
 0.413127	 3.145625	 0.624421
 0.389298	 3.464582	 0.464096
 0.378774	 3.256045	 0.262168
 0.325495	 2.854348	 0.629264
 0.399641	 0.301969	 0.243611
 0.341330	 2.949599	 0.204512
 0.197679	 3.582351	 0.552170
 0.377634	 0.442275	 -0.021471
 0.368159	 3.359369	 0.271420
 0.185465	 2.183935	 0.354435
 0.302346	 3.088184	 0.398415
 0.423663	 2.071910	 0.250041
 0.418207	 3.194487	 0.323288
 0.169540	 2.712978	 0.422741
 0.169106	 0.589814	 -0.137127
 0.226844	 3.632442	 0.122118
 0.163909	 3.603572	 1.127948
 0.343871	 3.127827	 0.497058
 0.330430	 4.155832	 -0.006300
 0.395371	 2.662237	 0.517799
 0.341964	 2.641888	 0.451553
 0.408365	 3.293924	 0.600234
 0.299015	 6.128811	 0.242345
 0.294961	 3.105385	 0.726711
 0.345239	 3.116301	 1.027296
 0.398565	 3.239967	 0.557253
 0.453295	 0.871032	 -0.145040
 0.350978	 3.087108	 0.822587
 0.275651	 2.964068	 0.681754
 0.333713	 2.892744	 0.937374
 0.370784	 4.064511	 0.036791
 0.318566	 2.794972	 0.312605
 0.402368	 3.940414	 0.384251
 0.341390	 0.051507	 -0.158618
 0.354668	 3.769965	 0.938115
 0.439642	 3.371462	 0.893782
 0.441102	 0.704926	 0.016091
 0.240625	 4.226059	 0.538721
 0.169550	 3.323157	 0.092694
 0.406710	 2.946782	 0.336616
 0.336898	 2.977912	 0.570190
 0.426967	 2.560383	 0.495262
 0.451703	 3.277775	 0.037744
 0.395745	 3.032707	 0.448268
 0.441743	 2.333113	 0.657394
 0.459312	 0.601285	 -0.011506
 0.387836	 2.679044	 0.616783
 0.326429	 3.101090	 0.637868
 0.203394	 0.349753	 -0.162505
 0.324177	 2.643975	 0.092294
 0.327188	 3.117219	 0.743929
 0.259018	 2.226645	 0.762740
 0.259234	 3.715444	 0.854153
 0.262207	 2.625851	 0.982335
 0.209715	 2.097344	 0.842624
 0.401542	 4.320303	 0.473071
 0.323481	 2.899023	 0.296232
 0.323527	 2.569045	 1.108964
 0.410871	 2.256528	 0.034825
 0.233340	 4.260240	 0.424812
 0.379915	 2.352332	 0.642279
 0.186895	 3.006958	 0.476271
 0.445976	 2.138996	 0.195550
 0.415867	 2.453885	 0.974226
 0.402227	 2.255649	 0.981245
 0.327250	 3.837098	 0.949203
 0.385837	 2.364100	 0.352107
 0.387583	 3.361431	 0.793485
 0.171099	 2.892343	 0.534801
 0.168013	 3.770681	 0.003510
 0.389549	 3.580354	 0.501819
 0.243200	 2.375927	 0.024053
 0.381408	 2.477383	 0.094191
 0.344064	 0.625773	 -0.006638
 0.321308	 2.836982	 0.923684
 0.466857	 2.135122	 0.311206
 0.421797	 2.613577	 0.523073
 0.180111	 2.971497	 1.137428
 0.330722	 3.057469	 0.900388
 0.183561	 5.430133	 0.010112
 0.447704	 4.038143	 0.646813
 0.178686	 2.130445	 0.499336
 0.296325	 4.107137	 0.556094
 0.397137	 2.901209	 0.034854
 0.274294	 2.541545	 0.602381
 0.224064	 2.980066	 0.529195
 0.409283	 4.265182	 0.696664
 0.308479	 5.612902	 -0.000556
 0.354209	 3.937981	 0.220805
 0.363137	 4.056120	 0.001403
 0.308011	 4.070322	 0.520312
 0.352453	 2.881233	 0.503015
 0.271449	 2.451364	 0.149300
 0.284329	 2.404390	 0.017739
 0.415939	 5.698540	 -0.004642
 0.330226	 3.050128	 1.044280
 0.331825	 3.224860	 0.427213
 0.308623	 3.602084	 0.668025
 0.423830	 0.073763	 0.005749
 0.409930	 2.817146	 0.728132
 0.294263	 3.002784	 0.568802
 0.287120	 3.820556	 0.760884
 0.408470	 3.166384	 0.296718
 0.230679	 4.359962	 0.668735
 0.248187	 4.130406	 0.219157
 0.396019	 2.950849	 0.087868
 0.401123	 4.167616	 0.633277
 0.398340	 3.140553	 1.082802
 0.353426	 3.702946	 0.804048
 0.402344	 4.360022	 0.738889
 0.165197	 3.896471	 0.309215
 0.441791	 2.695902	 0.526961
 0.421483	 3.198857	 0.271852
 0.404432	 4.180029	 0.342458
 0.182609	 3.911489	 0.056864
 0.379629	 3.954532	 0.086450
 0.466294	 2.677160	 0.557827
 0.176932	 2.199065	 0.209009
 0.228124	 3.314157	 0.027233
 0.244481	 2.035741	 0.330402
 0.285885	 4.635737	 0.979438
 0.285865	 2.951646	 0.546828
 0.286359	 2.268364	 0.397609
 0.358570	 2.328729	 1.001131
 0.325226	 2.250041	 0.114539
 0.330194	 2.528783	 0.978133
 0.366853	 3.105317	 0.020158
 0.324421	 2.739664	 0.079450
 0.322819	 3.025854	 0.086162
 0.323463	 3.503921	 0.634397
 0.305900	 3.772234	 0.226212
 0.377565	 5.741900	 -0.123069
 0.391161	 4.466925	 1.090283
 0.348368	 1.592960	 -0.011606
 0.391982	 4.108469	 0.100079
 0.260107	 2.950380	 0.132262
 0.286053	 1.588230	 -0.015394
 0.315315	 4.088143	 0.850677
 0.298475	 2.820295	 0.347105
 0.313833	 2.964154	 0.195767
 0.296089	 2.399350	 0.871476
 0.314416	 3.058446	 0.318112
 0.386545	 3.988785	 0.484442
 0.265760	 2.861682	 0.226711
 0.287187	 2.940600	 0.160913
 0.444137	 3.686420	 0.129861
 0.287870	 3.461437	 0.206166
 0.266440	 3.665127	 -0.029692
 0.385703	 2.952738	 0.840859
 0.352201	 0.851789	 0.010194
 0.452893	 3.269876	 0.759775
 0.342377	 3.167625	 0.353806
 0.467998	 6.096211	 0.247880
 0.365071	 2.894671	 1.124740
 0.364258	 3.768941	 0.876914
 0.364762	 3.798855	 0.877569
 0.261975	 3.806857	 0.221315
 0.334866	 2.563341	 0.256005
 0.274878	 5.598613	 -0.009333
 0.364732	 2.845163	 0.108339
 0.217478	 2.211695	 0.544444
 0.409395	 3.630300	 -0.051880
 0.287099	 4.302002	 0.536466
 0.281910	 3.476093	 0.843108
 0.326273	 4.459485	 0.577693
 0.326658	 3.972960	 0.054575
 0.325325	 2.772956	 0.811270
 0.172697	 3.693057	 0.342662
 0.400487	 3.739928	 -0.016527
 0.316488	 3.147579	 0.591471
 0.296735	 3.331651	 0.132711
 0.313536	 4.031405	 0.553954
 0.372940	 2.425877	 0.514161
 0.322787	 2.931104	 0.394437
 0.170663	 4.232172	 0.231872
 0.322816	 3.764320	 0.962176
 0.444610	 3.194996	 0.813761
 0.447052	 2.207917	 0.824261
 0.417210	 0.771584	 -0.002811
 0.260018	 2.168869	 0.845743
 0.258465	 3.430297	 0.784028
 0.341726	 2.766692	 0.929813
 0.309531	 2.103429	 0.574224
 0.226439	 3.435146	 1.174206
 0.370508	 3.343715	 0.988325
 0.263296	 3.544582	 -0.001422
 0.379726	 4.156450	 0.252293
 0.325839	 4.196206	 0.249592
 0.404492	 3.147982	 -0.057028
 0.324510	 2.873740	 0.593877
 0.353119	 3.534317	 0.036174
 0.342334	 4.422064	 0.422921
 0.180515	 3.285092	 0.077342
 0.346821	 2.472439	 0.146470
 0.344246	 2.040119	 0.378071
 0.252976	 2.716578	 0.354234
 0.240485	 3.503060	 1.153603
 0.400170	 3.371587	 0.198899
 0.435232	 3.330025	 -0.034430
 0.403060	 4.366262	 0.464099
 0.404336	 2.319010	 0.624521
 0.403554	 3.081334	 1.028956
 0.203013	 2.865584	 0.894158
 0.191960	 2.549613	 0.158673
 0.318803	 4.296463	 0.179102
 0.248498	 2.966146	 0.949116
 0.413949	 2.785576	 0.590680
 0.355349	 3.649913	 0.060111
 0.248169	 2.148553	 0.319495
 0.233996	 3.427291	 0.723066
 0.364331	 2.231567	 0.245674
 0.430731	 5.516739	 -0.116361
 0.416099	 3.701899	 0.495756
 0.388810	 3.003978	 -0.033794
 0.287119	 0.026902	 -0.008292
 0.168021	 3.812132	 0.300542
 0.256622	 3.689847	 0.854780
 0.326209	 2.352124	 0.223395
 0.281592	 3.111675	 0.747940
 0.377937	 2.447186	 0.540231
 0.282376	 2.443100	 0.179256
 0.192633	 3.997434	 0.523266
 0.379994	 3.339117	 0.277083
 0.466305	 2.632517	 0.849905
 0.308824	 2.319651	 0.723110
 0.408241	 2.946481	 0.104190
 0.188350	 5.939782	 -0.007311
 0.185530	 2.087791	 0.915762
 0.442327	 2.320643	 0.457224
 0.231964	 2.411227	 0.637730
 0.272663	 3.293176	 0.470879
 0.291674	 3.728844	 0.309156
 0.394729	 4.259210	 0.163849
 0.438677	 3.558694	 0.974186
 0.371624	 2.389620	 0.788059
 0.286732	 3.926860	 0.378921
 0.286643	 2.363349	 0.047673
 0.238390	 2.559391	 1.173202
 0.239086	 2.797287	 0.344382
 0.168539	 3.557627	 0.183931
 0.399318	 2.990555	 0.661579
 0.331749	 2.697665	 0.739519
 0.202968	 4.482819	 0.405589
 0.434604	 3.324905	 0.402724
 0.349533	 2.943240	 0.246316
 0.374301	 2.681212	 0.593338
 0.346507	 2.402237	 0.417431
 0.281958	 3.115477	 0.428708
 0.353229	 4.117988	 0.243042
 0.285393	 4.068206	 0.668210
 0.347915	 2.406205	 0.201141
 0.274199	 4.154660	 0.172621
 0.378923	 3.765071	 0.394441
 0.387898	 3.780939	 0.604268
 0.215536	 3.283197	 0.496933
